symbol,weight,side,usd_allocation,pred_next_day_return,pred_vol
FPT,0.03458048403263092,LONG,345.8048400878906,0.004182866308838129,0.006312073208391666
TSLA,0.007372793275862932,LONG,73.72793579101562,0.021680667996406555,0.04973657429218292
AAPL,-0.01645706221461296,SHORT,164.57061767578125,0.013415034860372543,0.03181643784046173
NVDA,-0.033551473170518875,SHORT,335.5147399902344,-0.008584713563323021,0.036403968930244446
VIP,-0.013274572789669037,SHORT,132.7457275390625,-0.01932639069855213,0.11522483825683594
MSFT,0.017917172983288765,LONG,179.17172241210938,0.01516932062804699,0.03845038264989853
AMD,-0.021543817594647408,SHORT,215.43817138671875,-0.025856921449303627,0.09460197389125824
NFLX,0.00923587754368782,LONG,92.35877227783203,0.012992280535399914,0.04728401452302933
XOM,0.008074454963207245,LONG,80.74455261230469,0.005804412066936493,0.01456452440470457
GOOG,-0.014295931905508041,SHORT,142.95932006835938,0.005886693485081196,0.04443714767694473
BAC,-0.03458048403263092,SHORT,345.8048400878906,0.0022769179195165634,0.01306507270783186
UNH,-0.027597423642873764,SHORT,275.9742431640625,0.0042228796519339085,0.016941184177994728
JPM,0.03433704376220703,LONG,343.37042236328125,0.011771595105528831,0.01764877513051033
DIS,0.025020424276590347,LONG,250.20423889160156,0.009159617125988007,0.023417498916387558
OXY,-0.009821378625929356,SHORT,98.21378326416016,0.004559882916510105,0.03171536326408386
JNJ,-0.0261437576264143,SHORT,261.43756103515625,0.0027068587951362133,0.019923051819205284
BRK-A,0.007526664528995752,LONG,75.26664733886719,0.005025324411690235,0.011161488480865955
ADBE,0.015747928991913795,LONG,157.4792938232422,0.031073469668626785,0.05513244867324829
INTC,-0.01042720302939415,SHORT,104.27203369140625,0.013110760599374771,0.08908645063638687
HD,-0.026896139606833458,SHORT,268.9613952636719,0.0022270919289439917,0.02643742598593235
BA,-0.007703183218836784,SHORT,77.03182983398438,0.00627874955534935,0.019264068454504013
COST,0.03458048403263092,LONG,345.8048400878906,0.00893752183765173,0.01009378395974636
MMM,0.03458048403263092,LONG,345.8048400878906,0.015029935166239738,0.019498784095048904
WMT,-0.008122636005282402,SHORT,81.22635650634766,0.01568521000444889,0.0376400500535965
LLY,0.023858333006501198,LONG,238.5833282470703,0.029810775071382523,0.03813886642456055
V,0.03458048403263092,LONG,345.8048400878906,0.010533562861382961,0.016730517148971558
TXN,-0.031999003142118454,SHORT,319.9900207519531,0.0006120128091424704,0.03037085011601448
PFE,0.03458048403263092,LONG,345.8048400878906,0.00962843932211399,0.01304500550031662
CRM,0.01937812753021717,LONG,193.78128051757812,0.027278952300548553,0.04969014972448349
MU,-0.01055400911718607,SHORT,105.54009246826172,-0.0015075994888320565,0.1030452623963356
PG,0.03458048403263092,LONG,345.8048400878906,0.008767521008849144,0.011577947065234184
TSM,-0.028651956468820572,SHORT,286.5195617675781,-0.004379853140562773,0.03504853695631027
MRK,0.03458048403263092,LONG,345.8048400878906,0.02383449487388134,0.024516837671399117
QCOM,-0.028857165947556496,SHORT,288.5716552734375,-0.0023901108652353287,0.04148254543542862
F,-0.008816479705274105,SHORT,88.164794921875,0.00792027823626995,0.024458549916744232
CMCSA,0.016481617465615273,LONG,164.81617736816406,0.014413495548069477,0.046730972826480865
PEP,0.03458048403263092,LONG,345.8048400878906,0.009880640543997288,0.012629684992134571
C,0.00873050931841135,LONG,87.30509185791016,0.011767138727009296,0.022435849532485008
KO,0.03458048403263092,LONG,345.8048400878906,0.01154344528913498,0.015336340293288231
CSCO,-0.02553747221827507,SHORT,255.37472534179688,0.0007120439549908042,0.03862880542874336
COP,0.020646674558520317,LONG,206.4667510986328,0.015498997643589973,0.036931104958057404
AVGO,-0.017081864178180695,SHORT,170.8186492919922,0.009917546063661575,0.04309181123971939
MCD,0.014367250725626945,LONG,143.67250061035156,0.009944665245711803,0.01725050061941147
WFC,0.03365469351410866,LONG,336.54693603515625,0.012829179875552654,0.016224700957536697
AMAT,-0.02451307326555252,SHORT,245.1307373046875,-0.02739540860056877,0.08551599085330963
