as_of_date,step_ahead,corridor_width_with_projection,corridor_width_without_projection,ratio
2026-09-21,0,2.40821770836331,2.40821770836331,1.0
2026-09-21,1,2.399092256480074,2.399130245245985,1.0000158346415433
2026-09-21,2,3.8469741991496136,2.9046869998491047,0.755057572387981
2026-09-21,3,4.133090179243069,4.1881815554508535,1.0133293428932328
2026-09-21,4,5.971766261568334,6.058103241744362,1.0144575283750898
2026-09-21,5,7.75095430309139,7.832971402440478,1.0105815485605916
2026-09-21,6,9.804315694465075,9.405897190961625,0.9593629462861571
2026-09-21,7,11.889428074784547,11.463493150996058,0.9641753227228966
2026-09-22,0,2.382057168411521,2.382057168411521,1.0
2026-09-22,1,2.3657282824614185,2.365703918550736,0.9999897013064166
2026-09-22,2,3.1365563017826332,2.9583259368947097,0.9431764177844894
2026-09-22,3,3.499640419857897,3.4536883126224893,0.9868694775112714
2026-09-22,4,4.873243386055989,4.673271897449851,0.9589654214319923
2026-09-22,5,6.181260686582192,5.909218760111088,0.9559892487528261
2026-09-22,6,7.284810570646883,7.078418193552608,0.9716681202492891
2026-09-22,7,8.317032062409055,8.087800381561848,0.9724382833771583
2026-09-23,0,2.312935575439127,2.312935575439127,1.0
2026-09-23,1,2.285322108863511,2.2848988246927746,0.9998147813959815
2026-09-23,2,2.258348893771,2.257863865158683,0.9997852286625618
2026-09-23,3,2.234017027348827,2.2317449758342747,0.9989829748445344
2026-09-23,4,2.2152700486167305,2.2129516675774425,0.9989534544374238
2026-09-23,5,2.216001946160148,2.4131539198967573,1.0889674190396048
2026-09-23,6,2.3574571020119492,2.7134473248644326,1.1510060236297266
2026-09-23,7,2.561732584863364,2.861890198550384,1.1171697684061856
