method,ticker,as_of_date,as_of_price,step_ahead,forecast_date,predicted_price,upper_corridor,lower_corridor,corridor_width,confidence_level,actual_price,prediction_error,abs_pct_error,within_corridor
james_stein,BZ=F,2025-09-11,66.37000274658203,0,2025-09-11,66.37000274658203,66.37000274658203,66.37000274658203,0.0,0.9,66.37000274658203,0.0,0.0,True
james_stein,BZ=F,2025-09-11,66.37000274658203,1,2025-09-12,66.32903336757884,69.05668055288453,63.70912462420144,5.347555928683086,0.9,66.98999786376953,0.6609644961906866,0.9866614677833252,True
james_stein,BZ=F,2025-09-11,66.37000274658203,2,2025-09-15,66.28808927846487,70.17575756506832,62.61579400999588,7.559963555072443,0.9,67.44000244140625,1.1519131629413835,1.7080562295978527,True
james_stein,BZ=F,2025-09-11,66.37000274658203,3,2025-09-16,66.24717046362895,71.03653009586043,61.78071463393251,9.255815461927916,0.9,68.47000122070312,2.2228307570741777,3.246430140857169,True
james_stein,BZ=F,2025-09-11,66.37000274658203,4,2025-09-17,66.2062769074696,71.76343643023726,61.07944825370245,10.683988176534811,0.9,67.94999694824219,1.7437200407725868,2.5661811907081997,True
james_stein,BZ=F,2025-09-11,66.37000274658203,5,2025-09-18,66.16540859439496,72.40469501087654,60.46377646926898,11.940918541607559,0.9,67.44000244140625,1.274593847011289,1.8899670831398496,True
james_stein,BZ=F,2025-09-11,66.37000274658203,6,2025-09-19,66.12456550882277,72.98504419891958,59.90896096210518,13.076083236814398,0.9,66.68000030517578,0.555434796353012,0.832985593597693,True
james_stein,BZ=F,2025-09-11,66.37000274658203,7,2025-09-22,66.08374763518043,73.51918498538782,59.40030078377749,14.118884201610335,0.9,66.56999969482422,0.4862520596437889,0.7304372267882026,True
james_stein,BZ=F,2025-09-12,66.98999786376953,0,2025-09-12,66.98999786376953,66.98999786376953,66.98999786376953,0.0,0.9,66.98999786376953,0.0,0.0,True
james_stein,BZ=F,2025-09-12,66.98999786376953,1,2025-09-15,66.95088167433055,69.70356354741772,64.30690668951125,5.396656857906464,0.9,67.44000244140625,0.48912076707570407,0.7252680150785371,True
james_stein,BZ=F,2025-09-12,66.98999786376953,2,2025-09-16,66.91178832526062,70.83526277975501,63.205630094225896,7.629632685529117,0.9,68.47000122070312,1.5582128954425087,2.2757599936647224,True
