lookback_period,mae,hit_rate,direction_accuracy,avg_corridor_width,n
3y,4.870328042729094,0.40540540540540543,0.5405405405405406,6.390303235987456,74
10y,4.883481801490318,0.43243243243243246,0.6486486486486487,6.6344639551921185,74
7y,5.091215815297838,0.47297297297297297,0.6891891891891891,9.435269789065618,74
5y,5.577093913453789,0.527027027027027,0.6351351351351351,10.295663858210126,74
