method,n_forecasts,mae,rmse,mape,hit_rate_within_corridor,avg_corridor_width
mc_variance_reduction,1662,4.106861534625367,5.921606605937654,4.684492888767484,0.8122743682310469,12.761970528924438
mle_gbm,1662,4.106861535324859,5.921606607779918,4.684492887003004,0.8140794223826715,12.773352281657136
historical_bootstrap,1662,4.115757509099003,5.93488487420047,4.695148640102893,0.7196149217809867,10.02182231412335
james_stein,1662,4.143274630870483,6.009124291521889,4.715861956695628,0.8122743682310469,12.7772558755797
finsler_geodesic,175,4.68004120977626,5.917993019289563,4.825319501448905,0.2742857142857143,4.758471845769131
garch11,793,5.693291499365173,7.141134619570673,6.032489356184851,0.8713745271122321,22.98849486792469
