as_of_date,step_ahead,corridor_width_nelder_mead,corridor_width_karcher,ratio,center_shift_log_price
2026-09-21,0,2.40821770836331,2.40821770836331,1.0,0.0
2026-09-21,1,2.399092256480074,2.4018811890119736,1.0011624949079663,0.0011618197339613445
2026-09-21,2,3.8469741991496136,2.680549395754255,0.6967942224168802,0.012181498189685058
2026-09-21,3,4.133090179243069,4.160208235666673,1.006561206082508,0.0017801151821386085
2026-09-21,4,5.971766261568334,5.744636541410458,0.9619660733174399,0.008803477235953316
2026-09-21,5,7.75095430309139,7.506163214077787,0.9684179419151046,0.01060805735957615
2026-09-21,6,9.804315694465075,9.561290296550439,0.9752124058946987,0.012318549456923122
2026-09-21,7,11.889428074784547,11.909399444085864,1.0016797586204902,0.009484986068549084
2026-09-22,0,2.382057168411521,2.382057168411535,1.000000000000006,1.7763568394002505e-15
2026-09-22,1,2.3657282824614185,2.367071476053681,1.0005677717099721,0.0005676105886021077
2026-09-22,2,3.1365563017826332,2.8561363206219283,0.9105962226785692,0.0041213141364178085
2026-09-22,3,3.499640419857897,3.719697052303303,1.0628797836476986,0.001328649684202432
2026-09-22,4,4.873243386055989,4.955685419740604,1.0169172822191703,0.0022151403740791054
2026-09-22,5,6.181260686582192,6.265810106759176,1.0136783456424217,0.001480330710605493
2026-09-22,6,7.284810570646883,7.402801643371987,1.0161968621669495,0.008096231389155939
2026-09-22,7,8.317032062409055,8.356382832142032,1.0047313476054556,0.002282639848217194
2026-09-23,0,2.316535515351859,2.316535515351873,1.0000000000000062,8.881784197001252e-16
2026-09-23,1,2.291451576965372,2.2950959567115916,1.001590424071298,0.0015891606863105423
2026-09-23,2,2.6499526339728163,2.806355382258957,1.0590209599526543,0.0029764672790930646
2026-09-23,3,3.362182111846934,3.802040090961853,1.1308251500015547,0.0041490816234963646
2026-09-23,4,4.394777479189813,4.57029578671542,1.0399379282242895,0.003266483587553104
2026-09-23,5,4.959148104135323,5.079193495284031,1.0242068574335588,0.005123467188438369
2026-09-23,6,5.3671569684700415,5.507793876572123,1.0262032411066544,0.0063094753990569075
2026-09-23,7,5.6341898207465135,5.836266041955199,1.0358660655103578,0.0069922268444813085
