ticker,as_of_date,as_of_price,tau,step_ahead,forecast_date,frechet_predicted_price,upper_corridor,lower_corridor,corridor_width,manifold_x1,manifold_x2,manifold_x3,mean_scenario_energy,k_scenarios_used,actual_price,prediction_error,abs_pct_error,within_corridor
BZ=F,2026-08-12,88.9800033569336,4,0,2026-08-12,88.98000335693358,90.054195660763,87.91862432734573,2.135571333417275,4.488411663104728,4.412677047975798,4.501142146040984,1.1091848589118227,9,88.9800033569336,1.4210854715202004e-14,1.5970840839594832e-14,True
BZ=F,2026-08-12,88.9800033569336,4,1,2026-08-13,89.81134037525207,90.8955688197117,87.74484914405082,3.1507196756608806,4.497711252137261,4.408015551429683,4.486803891257056,1.1091848589118227,9,87.06999969482422,-2.7413406804278537,3.148433088361214,False
BZ=F,2026-08-12,88.9800033569336,4,2,2026-08-14,90.51861291947341,91.61137976239392,86.4687783226599,5.1426014397340225,4.505555497177686,4.4074300241449915,4.472240920261217,1.1091848589118227,9,88.5199966430664,-1.998616276407006,2.257813321509602,True
BZ=F,2026-08-12,88.9800033569336,4,3,2026-08-17,91.0450414449162,92.1441634850632,85.91097316385947,6.233190321203736,4.511354344997237,4.412339664110835,4.462265092031091,1.1091848589118227,9,90.87000274658203,-0.17503869833416275,0.19262539126614764,True
BZ=F,2026-08-12,88.9800033569336,4,4,2026-08-18,88.64347286877167,90.45796526955542,86.58411491764589,3.8738503519095246,4.484622401707693,4.419724950776397,4.475097175017629,1.1091848589118227,9,91.0199966430664,2.376523774294739,2.610990839314401,False
BZ=F,2026-08-12,88.9800033569336,4,5,2026-08-19,88.50341781788178,90.51921347473251,86.30386233729803,4.215351137434482,4.483041170679267,4.424030475187299,4.469180150752732,1.1091848589118227,9,91.62000274658203,3.1165849287002487,3.401642474646745,False
BZ=F,2026-08-12,88.9800033569336,4,6,2026-08-20,91.98040720173242,93.38803809323784,84.42434945325816,8.96368863997968,4.521575589170172,4.451122576834495,4.458746734927823,1.1091848589118227,9,93.77999877929688,1.7995915775644562,1.918950310289126,False
BZ=F,2026-08-12,88.9800033569336,4,7,2026-08-21,88.20849675023287,91.10062414307215,86.24593312515334,4.85469101791881,4.479703293409478,4.432531249621681,4.460337538617001,1.1091848589118227,9,94.38999938964844,6.181502639415569,6.548895729830338,False
BZ=F,2026-08-13,87.06999969482422,4,0,2026-08-13,87.0699996948242,88.12113388270939,86.03140373735275,2.08973014535664,4.4667123893355765,4.425445291567528,4.428074908092498,1.9381763433775896,9,87.06999969482422,1.4210854715202004e-14,1.632118383485736e-14,True
BZ=F,2026-08-13,87.06999969482422,4,1,2026-08-14,88.2070420033829,89.27190289446995,86.51697163050892,2.7549312639610264,4.479686801133794,4.4337913100648265,4.42647775802098,1.9381763433775896,9,88.5199966430664,0.312954639683511,0.35354117888799547,True
BZ=F,2026-08-13,87.06999969482422,4,2,2026-08-17,88.93074213944095,90.00433974762292,85.62692801131969,4.37741173630323,4.487857888585779,4.452480761791721,4.423940913997088,1.9381763433775896,9,90.87000274658203,1.9392606071410796,2.1341042682141027,False
BZ=F,2026-08-13,87.06999969482422,4,3,2026-08-18,86.88006598425115,87.92890723751688,85.84373561061662,2.0851716269002623,4.464528615672574,4.441693094869915,4.414666488846764,1.9381763433775896,9,91.0199966430664,4.13993065881526,4.548374875303432,False
BZ=F,2026-08-13,87.06999969482422,4,4,2026-08-19,86.7844772000037,88.06640629823893,85.49344020501572,2.572966093223215,4.46342777157224,4.446667651026678,4.407831438955608,1.9381763433775896,9,91.62000274658203,4.8355255465783245,5.277805502749473,False
BZ=F,2026-08-13,87.06999969482422,4,5,2026-08-20,86.5790029075485,89.44797873885912,85.23383964999611,4.214139088863007,4.461057325518189,4.451335284560331,4.4040876881245135,1.9381763433775896,9,93.77999877929688,7.2009958717483755,7.678605209513062,False
BZ=F,2026-08-13,87.06999969482422,4,6,2026-08-21,86.31464999477261,89.48987333440202,84.71371360628113,4.776159728120888,4.4579993402845925,4.456421478419244,4.403512462364203,1.9381763433775896,9,94.38999938964844,8.075349394875829,8.555301882713472,False
BZ=F,2026-08-13,87.06999969482422,4,7,2026-08-24,86.18611166454271,88.46864861748548,84.18609163307217,4.2825569844133184,4.456509047108105,4.462055926457255,4.4053397925028275,1.9381763433775896,9,92.16999816894531,5.983886504402605,6.492228082107901,False
