method,overall_direction_accuracy,overall_magnitude_corr,overall_weighted_score,n_total
mle_gbm,0.5336943441636582,0.49494609105976267,0.6192058247101475,1662
mc_variance_reduction,0.5336943441636582,0.49494605712096795,0.6192058179223885,1662
historical_bootstrap,0.4813477737665463,0.21572574123230934,0.5319538125063896,1662
james_stein,0.4795427196149218,0.14127247300088838,0.5159801263691307,1662
finsler_geodesic (k_neighbors=5),0.4742857142857143,0.1116663510447148,0.5069046987803716,175
finsler_geodesic (k_neighbors=35),0.4857142857142857,0.0640876922486541,0.5042461098783022,175
garch11,0.0012610340479192938,,0.2007566204287516,793
