Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %,Best Epoch STD,Best Validation Objective STD,CRPS STD,Direction Brier STD,Tail Brier STD,Stress CRPS STD,Stress Tail Brier STD,Mean predicted tail probability STD,Observed tail frequency STD,Tail calibration gap STD,Stress predicted tail probability STD,Stress observed tail frequency STD,Stress tail calibration gap STD,Mean pi_D STD,Mean pi_N STD,Mean pi_T STD,"Corr(risk, pi_T) STD","Corr(dir_unc, pi_D) STD",Risk monotonic violations STD,Dir monotonic violations STD,Delta pi_T risk 0->1 STD,Delta pi_D dir 0->1 STD,CRPS Delta STD,Direction Brier Delta STD,Tail Brier Delta STD,Stress CRPS Delta STD,Stress Tail Brier Delta STD,Tail calibration gap Delta STD,Stress tail calibration gap Delta STD,CRPS Delta % STD,Monotonic OK,CRPS Constraint OK,Eligible,Rank
Verify,VERIFY_01,3.0,0.05,0.0,0.0,42.375,1.3537281900644302,0.7361595034599304,0.22465948946774006,0.07612746953964233,1.263127788901329,0.16492034681141376,0.053791615180671215,0.0848076930269599,0.03101607784628868,0.1877039633691311,0.20700782164931297,0.03327672556042671,0.387245986610651,0.2962035797536373,0.31655044853687286,0.9172227710555596,0.6768982555504761,0.0,0.0,0.5562957972288132,0.3096264787018299,0.0004314407706260681,1.2986361980438232e-05,-0.0004933476448059082,0.0022484660148620605,-0.0013831425458192825,-0.007910309825092554,-0.011597670614719391,0.05980572402466541,6.6534094374882065,0.05571033794720513,0.02765502276795634,0.003409929185536449,0.006693221881381928,0.10465054123253735,0.013051047424156552,0.004729189628262052,0.007755237232575823,0.009244673213291374,0.022585120116319742,0.02064547861759882,0.023570479780713794,0.0032376443380659928,0.0011000992397678362,0.0032119625556683495,0.003513642329960753,0.0137631902587245,0.0,0.0,3.7839283395462365e-05,0.0001446043823868042,0.000835083617823699,0.0002559926994202341,0.00034727773282795343,0.005759416078772136,0.001653564566447501,0.0023048570898253594,0.020700182504170567,0.1183514717508571,True,False,False,1
Verify,VERIFY_03,3.0,0.05,0.005,0.0,42.375,1.3537321835756302,0.7361594811081886,0.2246594838798046,0.07612747605890036,1.2631278187036514,0.16492036543786526,0.05379149364307523,0.0848076930269599,0.03101619938388467,0.18770361691713333,0.20700782164931297,0.033276963979005814,0.3872489035129547,0.29620394483208656,0.3165471628308296,0.9172223533575246,0.6768990060688961,0.0,0.0,0.5562956556677818,0.3096276484429836,0.00043141841888427734,1.298077404499054e-05,-0.0004933411255478859,0.0022484958171844482,-0.0013831239193677902,-0.007910188287496567,-0.01159743219614029,0.05980283318155021,6.6534094374882065,0.05571014540728452,0.027654988486794006,0.0034099326695986136,0.006693231934511469,0.10465053300013863,0.013051049952657361,0.004729155949451396,0.007755237232575823,0.009244813217911799,0.02258512076214419,0.02064547861759882,0.023570499953741997,0.0032375081096773974,0.0010986347280890687,0.0032104845011452056,0.0035135650916431524,0.013763351138995865,0.0,0.0,3.8362840324425966e-05,0.00014487812749349138,0.0008350894851573371,0.0002559938511132679,0.000347277637318193,0.0057594001571546925,0.001653555019114533,0.002304849542760668,0.02069988059244325,0.11835232293390802,True,False,False,2
Verify,VERIFY_02,3.0,0.05,0.01,0.0,42.375,1.3537362068891525,0.7361594885587692,0.2246594801545143,0.07612748257815838,1.2631278187036514,0.16492038406431675,0.05379136744886637,0.0848076930269599,0.03101632557809353,0.18770327419042587,0.20700782164931297,0.03327720984816551,0.3872518576681614,0.2962043285369873,0.3165438026189804,0.9172219301182538,0.6768997793807577,0.0,0.0,0.5562954917550087,0.30962881818413734,0.00043142586946487427,1.2977048754692078e-05,-0.0004933346062898636,0.0022484958171844482,-0.001383105292916298,-0.007910062093287706,-0.01159718632698059,0.05980375896407481,6.6534094374882065,0.0557100199527757,0.02765500865980402,0.0034099308680454773,0.006693242485266153,0.10465053539413795,0.013051063275392532,0.004729122245726302,0.007755237232575823,0.009244958897852627,0.02258512966818671,0.02064547861759882,0.023570501747830742,0.0032373884744127234,0.0010971251653538337,0.0032089543123556045,0.00351348409707059,0.013763519349393292,0.0,0.0,3.894695820984308e-05,0.00014516941014272868,0.0008350911992929873,0.00025599262190530083,0.0003472766598848007,0.005759393758075601,0.0016535322061366326,0.0023048412851789505,0.020699584572517304,0.11835253962941306,True,False,False,3
Verify,VERIFY_04,3.0,0.05,0.0,0.005,42.375,1.353096455335617,0.7361529991030693,0.22465751506388187,0.0761289307847619,1.2631092071533203,0.16492450423538685,0.053744916804134846,0.0848076930269599,0.03106277622282505,0.1875363253057003,0.20700782164931297,0.033347178250551224,0.3864375650882721,0.29676061123609543,0.3168018199503422,0.9172227368722261,0.6768983586911141,0.0,0.0,0.5479513555765152,0.3049822114408016,0.0004249364137649536,1.1011958122253418e-05,-0.0004918863996863365,0.0022298842668533325,-0.001378985121846199,-0.007863611448556185,-0.01152721792459488,0.05891527022106531,6.6534094374882065,0.055715861305697924,0.027655922953253437,0.003409993396611642,0.006693877748148952,0.10468387924620819,0.013061222279748978,0.00472371263361679,0.007755237232575823,0.009244238787175323,0.02256544785259765,0.02064547861759882,0.02358928987396611,0.003189077728737151,0.0010834013209347494,0.0031635921056432487,0.0035136344005636537,0.013763209520622977,0.0,0.0,3.7332072600920665e-05,0.0001424642609136143,0.000830392370616375,0.0002547882271522396,0.00034640380177036165,0.005723971672194004,0.0016426278848281472,0.002302529792650992,0.020537416830449472,0.11767658020712553,True,False,False,4
Verify,VERIFY_05,3.0,0.05,0.005,0.005,42.375,1.3531002700328827,0.7361529618501663,0.22465750947594643,0.07612893544137478,1.2631092071533203,0.1649245209991932,0.05374479480087757,0.0848076930269599,0.031062898226082325,0.1875359807163477,0.20700782164931297,0.033347418531775475,0.3864404037594795,0.2967609651386738,0.3167986162006855,0.91722232426601,0.676899100057783,0.0,0.0,0.5479511842131615,0.30498332157731056,0.000424899160861969,1.1006370186805725e-05,-0.0004918817430734634,0.0022298842668533325,-0.001378968358039856,-0.00786348944529891,-0.011526977643370628,0.05891020861822534,6.6534094374882065,0.05571573568602764,0.02765592185115362,0.003409992312923917,0.006693892848264543,0.10468390890026687,0.013061231685221565,0.004723678326740224,0.007755237232575823,0.009244381453317765,0.02256545131630806,0.02064547861759882,0.023589309303672087,0.003188950516939414,0.0010819696911674398,0.0031621699372737892,0.003513557703496137,0.01376337175868297,0.0,0.0,3.784495909669132e-05,0.0001427463373923091,0.0008303867721784706,0.0002547921783109762,0.0003463999624449652,0.005723953033536002,0.0016426069969322887,0.002302520930408812,0.02053711651674643,0.11767588928658093,True,False,False,5
