Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,Seed,Method,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %
Stage1,S1_001,1.5,0.005,0.0,0.02,43,1.028534173965454,101,monotonic_hybrid,0.769020676612854,0.23102064430713654,0.07857023924589157,1.2416359186172485,0.15779133141040802,0.04792043939232826,0.08692307770252228,0.039002638310194016,0.16671398282051086,0.19847328960895538,0.03175930678844452,0.39037761092185974,0.29772132635116577,0.3119010925292969,0.9183607100665298,0.6506773229511634,0,0,0.5214632749557495,0.29574573040008545,-2.4259090423583984e-05,-0.0001802891492843628,-0.000280231237411499,-0.0012519359588623047,-0.0013529211282730103,-0.003908999264240265,-0.014874398708343506,-0.0031544438169142206
Stage1,S1_001,1.5,0.005,0.0,0.02,43,0.9465821385383606,102,monotonic_hybrid,0.7368630170822144,0.21697162091732025,0.07993214577436447,1.4856375455856323,0.202236607670784,0.03974921628832817,0.08923076838254929,0.049481552094221115,0.15283311903476715,0.2539682686328888,0.10113514959812164,0.393786758184433,0.29750388860702515,0.30870938301086426,0.9233312011816016,0.642758170682196,0,0,0.5214635729789734,0.29574334621429443,-0.000650942325592041,-0.00012095272541046143,-0.0005632713437080383,-0.007627248764038086,-0.003238275647163391,-0.003966331481933594,-0.015192270278930664,-0.08826169556366378
Stage1,S1_001,1.5,0.005,0.0,0.02,16,0.9838767647743225,103,monotonic_hybrid,0.7088832259178162,0.22278909385204315,0.078638955950737,1.171733021736145,0.12810632586479187,0.041354939341545105,0.08538461476564407,0.04402967542409897,0.13527615368366241,0.14159291982650757,0.006316766142845154,0.39687228202819824,0.29675111174583435,0.3063766360282898,0.9162463303256022,0.6448759059763942,0,0,0.5214760899543762,0.2958958148956299,0.00030982494354248047,-3.0472874641418457e-05,-0.00030568987131118774,7.367134094238281e-05,0.00011517107486724854,-0.0038055293262004852,-0.012565307319164276,0.043725172736723904
Stage1,S1_001,1.5,0.005,0.0,0.02,49,1.0520328283309937,104,monotonic_hybrid,0.7185957431793213,0.2272953987121582,0.07230038940906525,1.2319562435150146,0.15047581493854523,0.05513894185423851,0.07999999821186066,0.024861056357622147,0.1685817986726761,0.18110236525535583,0.012520566582679749,0.3933785557746887,0.29667264223098755,0.3099488317966461,0.9172008304408497,0.6712016070691462,0,0,0.5214616656303406,0.29574331641197205,0.0005530714988708496,-0.0009521245956420898,-0.0002890080213546753,0.0022581815719604492,-0.0005374103784561157,-0.007609393447637558,-0.017994970083236694,0.0770248789778029
Stage1,S1_001,1.5,0.005,0.0,0.02,43,1.0119612216949463,105,monotonic_hybrid,0.7021162509918213,0.21998560428619385,0.07103537023067474,1.1413376331329346,0.12847821414470673,0.05045343190431595,0.07538461685180664,0.024931184947490692,0.18405139446258545,0.1376146823167801,0.04643671214580536,0.4003063440322876,0.2965794801712036,0.3031142055988312,0.9153077320827971,0.6733466152762349,0,0,0.5214632749557495,0.2957445979118347,0.0005101561546325684,0.00010034441947937012,7.326900959014893e-05,0.001367330551147461,0.0011297762393951416,-0.003576580435037613,0.012434661388397217,0.07271261729146647
Stage1,S1_002,1.5,0.01,0.0,0.02,43,1.0284017324447632,101,monotonic_hybrid,0.7690218687057495,0.2310226857662201,0.07856833934783936,1.241623878479004,0.1577848196029663,0.04795006290078163,0.08692307770252228,0.038973014801740646,0.16680629551410675,0.19847328960895538,0.03166699409484863,0.38890883326530457,0.29778051376342773,0.3133106529712677,0.9186296369536876,0.6503387680818362,0,0,0.5216645002365112,0.29524385929107666,-2.3066997528076172e-05,-0.00017824769020080566,-0.0002821311354637146,-0.0012639760971069336,-0.0013594329357147217,-0.003938622772693634,-0.014966711401939392,-0.0029994342927415316
Stage1,S1_002,1.5,0.01,0.0,0.02,43,0.946390688419342,102,monotonic_hybrid,0.7368609309196472,0.21697331964969635,0.07992969453334808,1.4856014251708984,0.20222216844558716,0.03976680338382721,0.08923076838254929,0.049463964998722076,0.15290506184101105,0.2539682686328888,0.10106320679187775,0.3923102021217346,0.29757270216941833,0.31011712551116943,0.9235786722080715,0.6424458039822013,0,0,0.5216649770736694,0.2952389717102051,-0.0006530284881591797,-0.00011925399303436279,-0.0005657225847244263,-0.007663369178771973,-0.0032527148723602295,-0.0039839185774326324,-0.01526421308517456,-0.0885445597102372
Stage1,S1_002,1.5,0.01,0.0,0.02,16,0.9837535619735718,103,monotonic_hybrid,0.7088851928710938,0.2227901816368103,0.07863740622997284,1.1717365980148315,0.1281079351902008,0.041376225650310516,0.08538461476564407,0.04400838911533356,0.13533495366573334,0.14159291982650757,0.006257966160774231,0.3957998752593994,0.2966378927230835,0.3075622022151947,0.9164361996599912,0.644518506024037,0,0,0.5216929912567139,0.29554611444473267,0.00031179189682006836,-2.9385089874267578e-05,-0.0003072395920753479,7.724761962890625e-05,0.00011678040027618408,-0.0038268156349658966,-0.012624107301235199,0.04400276617656844
Stage1,S1_002,1.5,0.01,0.0,0.02,49,1.0519356727600098,104,monotonic_hybrid,0.7186020016670227,0.227296844124794,0.07229945808649063,1.2319687604904175,0.15047462284564972,0.055173374712467194,0.07999999821186066,0.024826623499393463,0.1686655730009079,0.18110236525535583,0.012436792254447937,0.39190176129341125,0.29674914479255676,0.311349093914032,0.9174745108478543,0.6708898623293463,0,0,0.5216614603996277,0.29523879289627075,0.0005593299865722656,-0.0009506791830062866,-0.00028993934392929077,0.0022706985473632812,-0.0005386024713516235,-0.0076438263058662415,-0.018078744411468506,0.07789648284596427
Stage1,S1_002,1.5,0.01,0.0,0.02,43,1.0118317604064941,105,monotonic_hybrid,0.7021219730377197,0.21998751163482666,0.07103592157363892,1.1413516998291016,0.1284875124692917,0.05048433691263199,0.07538461685180664,0.024900279939174652,0.18414147198200226,0.1376146823167801,0.04652678966522217,0.39883071184158325,0.29666250944137573,0.30450674891471863,0.9155616368973616,0.6730521658351277,0,0,0.5216645002365112,0.29524150490760803,0.0005158782005310059,0.00010225176811218262,7.382035255432129e-05,0.0013813972473144531,0.0011390745639801025,-0.003607485443353653,0.012524738907814026,0.07352818117275878
