Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %,Best Epoch STD,Best Validation Objective STD,CRPS STD,Direction Brier STD,Tail Brier STD,Stress CRPS STD,Stress Tail Brier STD,Mean predicted tail probability STD,Observed tail frequency STD,Tail calibration gap STD,Stress predicted tail probability STD,Stress observed tail frequency STD,Stress tail calibration gap STD,Mean pi_D STD,Mean pi_N STD,Mean pi_T STD,"Corr(risk, pi_T) STD","Corr(dir_unc, pi_D) STD",Risk monotonic violations STD,Dir monotonic violations STD,Delta pi_T risk 0->1 STD,Delta pi_D dir 0->1 STD,CRPS Delta STD,Direction Brier Delta STD,Tail Brier Delta STD,Stress CRPS Delta STD,Stress Tail Brier Delta STD,Tail calibration gap Delta STD,Stress tail calibration gap Delta STD,CRPS Delta % STD,Monotonic OK,CRPS Constraint OK,Eligible,Rank
Stage2,S2_025,3.0,0.005,0.0,0.05,44.3,1.305870521068573,0.73304004073143,0.22291608452796935,0.07868085652589799,1.235455083847046,0.15266543254256248,0.048983148857951166,0.08676922991871834,0.037786081060767175,0.1723658710718155,0.18591518998146056,0.03447794616222381,0.3886789381504059,0.30099928081035615,0.31032182574272155,0.9190420857152182,0.6695074182155317,0.0,0.0,0.4715359956026077,0.267427584528923,0.00017444491386413573,-0.0002598479390144348,-0.00044442713260650635,-9.211301803588868e-05,-0.0011210732161998748,-0.006711544468998909,-0.01111205667257309,0.02534954263679029,5.53875236653326,0.0527624457354576,0.025686670162063805,0.0040330769325729945,0.005746544608614437,0.1113728332522936,0.026164874850174467,0.005169428773389935,0.006916425583905123,0.010288324582412847,0.012351390790432102,0.04140524242921386,0.029632994051594377,0.002629050618432845,0.0009155451982854272,0.0024779450074832836,0.0039665214975296015,0.01911368260574873,0.0,0.0,9.380501573456648e-07,8.751154248150476e-06,0.0006599891280693682,0.00043869468486070005,0.00035872152736172926,0.004637247317874058,0.0021505696179859347,0.002354022786790081,0.019741519128752254,0.09051840866036995,True,True,True,33
Stage1,S1_019,2.0,0.1,0.0,0.0,45.4,1.1114423036575318,0.7329502761363983,0.22301164865493775,0.07874062359333038,1.2350677847862244,0.15277427062392235,0.048111557960510254,0.08676922991871834,0.03865767195820809,0.169800566136837,0.18591518998146056,0.03564033359289169,0.36863242983818056,0.2960837960243225,0.33528378903865813,0.9238978927498926,0.6638878902627797,0.0,0.0,0.5570049464702607,0.3033326923847198,8.468031883239746e-05,-0.00016428381204605102,-0.00038466006517410276,-0.00047941207885742186,-0.0010122351348400116,-0.005839953571557999,-0.009949669241905212,0.012835535032127596,3.8930136855083823,0.045967854182312425,0.025745010261895566,0.004042440589678953,0.005753614023022771,0.11176921939527848,0.026379540493512238,0.004853727270781639,0.006916425583905123,0.010139951238714645,0.012340287853113537,0.04140524242921386,0.030181794178817084,0.0029500502590615683,0.001014902255349735,0.0029430958842301797,0.0038133891729401894,0.019554504772722425,0.0,0.0,3.6570784265948134e-05,0.00014436299023761628,0.0006088280585330041,0.0004364734394688263,0.0002973488649514361,0.004198789569932787,0.0019414927474678504,0.001709680879884348,0.01759163136764954,0.08353590433133963,True,True,True,34
Stage1,S1_018,2.0,0.05,0.0,0.0,45.4,1.1135091662406922,0.7329261779785157,0.2229898229241371,0.07875900939106942,1.2350712895393372,0.15280035957694055,0.04777825698256492,0.08676922991871834,0.03899097293615341,0.16873616427183152,0.18591518998146056,0.035800527036190036,0.3842725396156311,0.29585420787334443,0.31987325847148895,0.9213736986063068,0.6668306461923041,0.0,0.0,0.5562918961048127,0.30954345166683195,6.058216094970703e-05,-0.0001861095428466797,-0.00036627426743507385,-0.0004759073257446289,-0.000986146181821823,-0.005506652593612671,-0.009789475798606872,0.009462335015196591,3.8930136855083823,0.045565313824860086,0.02576333717661847,0.0040419749202834435,0.0057614713726025875,0.11196895642637593,0.026469662610818484,0.004795473328274958,0.006916425583905123,0.010082352850814044,0.012250177031580867,0.04140524242921386,0.03048472587946278,0.003026240008439057,0.001041288025565588,0.0029302442665396222,0.003896536816646142,0.019325873102443138,0.0,0.0,1.1624316798247707e-05,6.74931508429531e-05,0.0005742085693803102,0.0004365544147326299,0.0002866449916999138,0.003970327901754515,0.0018470599997852189,0.0016726911140467174,0.016657351337851102,0.07871304358677159,True,True,True,35
Stage1,S1_017,2.0,0.02,0.0,0.0,44.3,1.1147228360176087,0.7329115390777587,0.2229567512869835,0.07875000461935996,1.23505597114563,0.15281352549791336,0.04786733388900757,0.08676922991871834,0.03890189602971077,0.16864742785692216,0.18591518998146056,0.03534425050020218,0.39373728930950164,0.29550627768039706,0.31075642704963685,0.9198215335295984,0.6686110334741547,0.0,0.0,0.5553589701652527,0.3129929006099701,4.594326019287109e-05,-0.00021918118000030518,-0.000375279039144516,-0.0004912257194519043,-0.000972980260848999,-0.005595729500055313,-0.010245752334594727,0.007409774133839595,5.53875236653326,0.045319242091296986,0.0257753029803447,0.004060971617794219,0.005781056272101043,0.1120847697432255,0.026523126176744436,0.005068721749646243,0.006916425583905123,0.010241030227403478,0.01236233507279667,0.04140524242921386,0.03090020089801172,0.003047526834392131,0.0010675801607733786,0.0029054670099594062,0.003934496582280249,0.019185028699102265,0.0,0.0,5.470019424208365e-06,4.2363101790467827e-05,0.0005541014824687039,0.00041474279203471685,0.00031634670880914214,0.0038400441518323873,0.0017918131730320676,0.0022309515871287316,0.0166049093851989,0.07591717824972447,True,True,True,36
Stage1,S1_016,2.0,0.01,0.0,0.0,44.3,1.1151230573654174,0.7329067051410675,0.22295227646827698,0.0787537544965744,1.235057246685028,0.15281903445720674,0.04779992587864399,0.08676922991871834,0.03896930404007435,0.16843364089727403,0.18591518998146056,0.035376031696796414,0.396875786781311,0.29536826610565187,0.30775595009326934,0.9193025270796292,0.6692083330484546,0.0,0.0,0.5549623072147369,0.31408439874649047,4.110932350158692e-05,-0.00022365599870681762,-0.00037152916193008425,-0.0004899501800537109,-0.0009674713015556336,-0.005528321489691734,-0.010213971138000488,0.006731685768159754,5.53875236653326,0.04523682494578999,0.02577932896703905,0.004061065255672845,0.005782615972387624,0.1121246063408116,0.026541170080964346,0.005056874385153537,0.006916425583905123,0.010229208903837831,0.012344411484236647,0.04140524242921386,0.03096648180680667,0.0030775853166827858,0.0010736269963998026,0.002911849982435626,0.003955862397054361,0.019137540611127064,0.0,0.0,2.379752713420218e-06,2.0820070120834466e-05,0.000547485980286496,0.0004145245073094649,0.00031434064309410545,0.0037950024519410597,0.0017730040602629267,0.0022236902463983483,0.016421397527568236,0.07499798435478239,True,True,True,37
Stage1,S1_015,2.0,0.005,0.0,0.0,44.3,1.1153224468231202,0.7329043209552765,0.2229500398039818,0.07875563576817513,1.2350579857826234,0.15282183811068534,0.047766241058707234,0.08676922991871834,0.0390029888600111,0.16832670122385024,0.18591518998146056,0.03539191037416458,0.39844611287117004,0.2952932208776474,0.3062606602907181,0.9190420324025059,0.669507473968675,0.0,0.0,0.5547481954097748,0.31462079882621763,3.872513771057129e-05,-0.00022589266300201415,-0.000369647890329361,-0.0004892110824584961,-0.0009646676480770111,-0.005494636669754982,-0.010198092460632325,0.006397011789954182,5.53875236653326,0.04519562308305678,0.025781368115232635,0.00406111551302803,0.00578339737846977,0.11214443101224744,0.02655020312037754,0.00505097672444441,0.006916425583905123,0.010223315238275032,0.012335471806420154,0.04140524242921386,0.031000227602024758,0.003092964145055414,0.0010770660042447521,0.0029151485187290027,0.003966519723045189,0.019113683259855137,0.0,0.0,1.1211202544569505e-06,1.0314577607229976e-05,0.0005441908413392726,0.0004144117381992919,0.00031334219008243366,0.0037726070087618444,0.001763592444304773,0.002220099009933128,0.016329977508242912,0.07454025399212778,True,True,True,38
Stage1,S1_020,2.0,0.2,0.0,0.0,46.0,1.107184374332428,0.7331086277961731,0.223064124584198,0.07872669175267219,1.2355299592018127,0.1529301807284355,0.049236560612916945,0.08676922991871834,0.03753266930580139,0.17322007119655608,0.18591518998146056,0.03663778305053711,0.33772695660591123,0.29533344209194184,0.3669395923614502,0.9287492032811488,0.658110456225012,0.0,0.0,0.5552868247032166,0.2892049700021744,0.00024303197860717774,-0.00011180788278579712,-0.00039859190583229064,-1.7237663269042968e-05,-0.0008563250303268433,-0.006964956223964691,-0.008952219784259797,0.03525670898234896,3.9440531887330774,0.04676328672181595,0.025571449804341947,0.0040371157627471415,0.005706539594959106,0.11096313371337115,0.02600932994052882,0.005583512547717029,0.006916425583905123,0.011102805801199336,0.015243756474973792,0.04140524242921386,0.03090067717245162,0.0025920546340869304,0.0009780317595030558,0.002854357884729042,0.003620516332415876,0.01998892836774466,0.0,0.0,0.00012370042517696912,0.0003255556321512038,0.0008859919439909382,0.00044408350855787865,0.000364575308667111,0.005207549873021376,0.002508925838361939,0.002222674111057203,0.022055462758647074,0.12356051610884697,True,True,True,39
Stage1,S1_013,1.0,0.2,0.0,0.0,45.4,0.9136774063110351,0.7328378140926362,0.22305651754140854,0.07885219156742096,1.2348766446113586,0.15305433422327042,0.04626399539411068,0.08676922991871834,0.04050523452460766,0.16290940791368486,0.18591518998146056,0.03767272382974625,0.3378384619951248,0.2952923893928528,0.3668691605329514,0.9287295651124161,0.6581089048763296,0.0,0.0,0.5553084015846252,0.2892615139484406,-2.778172492980957e-05,-0.00011941492557525635,-0.00027309209108352663,-0.0006705522537231445,-0.0007321715354919433,-0.0039923910051584246,-0.007917279005050659,-0.0030702684062215214,3.8930136855083823,0.03806357371169023,0.02586863284571252,0.004076769809425452,0.005814348418803959,0.11315039256210108,0.027067503166745388,0.004789316853876655,0.006916425583905123,0.010132354256142029,0.012428784751245215,0.04140524242921386,0.0326688003337565,0.002813252120241993,0.0009960341962896608,0.0029641068310996385,0.0036402504028982736,0.01998827912286004,0.0,0.0,0.0001237350059703533,0.00032364125936578617,0.0004182460924742644,0.00039967323065415606,0.00020730009963989152,0.0027135846886329335,0.0012421567764923794,0.0015917161484646186,0.011802831565235155,0.0574857529122168,True,True,True,40
Stage1,S1_009,1.0,0.01,0.0,0.0,40.9,0.9175974071025849,0.7328540921211243,0.22306788861751556,0.07886740192770958,1.2349376559257508,0.15311939492821694,0.045845259353518485,0.08676922991871834,0.04092397056519985,0.16060376316308975,0.18591518998146056,0.038354845345020296,0.3969703108072281,0.2953256070613861,0.3077040880918503,0.9192843245195281,0.6692078721669128,0.0,0.0,0.5549654841423035,0.31411955654621126,-1.150369644165039e-05,-0.0001080438494682312,-0.00025788173079490664,-0.0006095409393310547,-0.0006671108305454255,-0.0035736549645662306,-0.0072351574897766115,-0.0007821930432610327,10.159286939107051,0.03732130799395634,0.025853170736323372,0.004080174518292513,0.0058464050320037415,0.11358689573480774,0.027277527841016266,0.004816689618136437,0.006916425583905123,0.010126856041340889,0.013354221436940955,0.04140524242921386,0.032973858808286245,0.00315724676820224,0.00110983839128506,0.00294164739849204,0.003969849096128518,0.019138440629099664,0.0,0.0,9.828113302802646e-06,0.0001043923630604319,0.00033237320891965524,0.0002877850896324747,0.00022552094804980283,0.0022222130179641855,0.0010274646937895328,0.00199639494136717,0.010056697669499008,0.04534478372417289,True,True,True,41
Stage1,S1_008,1.0,0.005,0.0,0.0,40.9,0.9176927208900452,0.7328531861305236,0.22306649386882782,0.0788686878979206,1.2349404692649841,0.15312181934714317,0.0458252914249897,0.08676922991871834,0.04094393849372864,0.1605405256152153,0.18591518998146056,0.03838839381933212,0.39849348068237306,0.2952717989683151,0.3062347203493118,0.9190329088931068,0.6695072707264677,0.0,0.0,0.554749608039856,0.3146382749080658,-1.2409687042236327e-05,-0.00010943859815597534,-0.00025659576058387754,-0.0006067276000976563,-0.0006646864116191864,-0.003553687036037445,-0.0072016090154647825,-0.0009110648523313173,10.159286939107051,0.03730407181981433,0.025854341170355864,0.004080164737893099,0.005846856765372162,0.11359847536095483,0.02728289126131365,0.004813206793643116,0.006916425583905123,0.010123366970439326,0.013346165013389429,0.04140524242921386,0.03297652502482103,0.003130035368191726,0.001093622189410621,0.002929149373620104,0.003973459295441661,0.01911411626487077,0.0,0.0,4.411280659485135e-06,5.185577109633766e-05,0.0003304453275968825,0.00028776892859998747,0.00022499441108456524,0.0022091668080146095,0.0010218699246564383,0.001994447960389415,0.010001776998457087,0.04507717327522353,True,True,True,42
