Method,CRPS_mean,CRPS_std,Direction Brier_mean,Direction Brier_std,Tail Brier_mean,Tail Brier_std,Stress CRPS_mean,Stress CRPS_std,Stress Tail Brier_mean,Stress Tail Brier_std,Mean predicted tail probability_mean,Mean predicted tail probability_std,Observed tail frequency_mean,Observed tail frequency_std,Stress predicted tail probability_mean,Stress predicted tail probability_std,Stress observed tail frequency_mean,Stress observed tail frequency_std,Risk monotonic violations_mean,Risk monotonic violations_std,Dir monotonic violations_mean,Dir monotonic violations_std,Delta pi_T risk 0->1_mean,Delta pi_T risk 0->1_std,Delta pi_D dir 0->1_mean,Delta pi_D dir 0->1_std,Best Epoch_mean,Best Epoch_std,Best Validation Objective_mean,Best Validation Objective_std,Mean pi_D_mean,Mean pi_D_std,Mean pi_N_mean,Mean pi_N_std,Mean pi_T_mean,Mean pi_T_std,"Corr(risk, pi_T)_mean","Corr(risk, pi_T)_std","Corr(dir_unc, pi_D)_mean","Corr(dir_unc, pi_D)_std",Near-floor pi_D rate_mean,Near-floor pi_D rate_std,Near-floor pi_N rate_mean,Near-floor pi_N rate_std,Near-floor pi_T rate_mean,Near-floor pi_T rate_std
crps,0.7359923124313354,0.022896908692657696,0.2236711412668228,0.003390780268851268,0.08013213202357292,0.00638075888820442,1.2623898386955261,0.11187730137566049,0.16593895703554154,0.024044371125521873,0.04646587036550045,0.004146856071687805,0.08876923099160194,0.00773662370758943,0.16344093084335326,0.014555923180432133,0.2076777845621109,0.035023047680981766,,,,,,,,,45.8,13.685353078707502,0.7483778655529022,0.04626742202081488,,,,,,,,,,,,,,,,
hybrid,0.7361124575138092,0.02241308936334498,0.22357849031686783,0.0032829658966851247,0.0799057736992836,0.006111408938050498,1.2611680626869202,0.10516139683240945,0.16443529576063157,0.02157812051740658,0.04979393519461155,0.004832547992986608,0.08876923099160194,0.00773662370758943,0.18060370683670043,0.015320483262986156,0.2076777845621109,0.035023047680981766,9.0,6.69991708074726,0.0,0.0,0.34107778072357176,0.06497089854739763,0.19323837757110596,0.0334924594881568,56.2,3.359894178227774,1.129271912574768,0.07580812328595636,0.2874349445104599,0.014795539633283117,0.3820017516613007,0.010285654062609334,0.3305633544921875,0.020388346471610884,0.8128595194527299,0.1389759749991535,0.8082966842284425,0.08183944634995952,0.0,0.0,0.0,0.0,0.0,0.0
monotonic_hybrid,0.7363245964050293,0.021774880116405052,0.22361869215965272,0.0032204949569732753,0.0796794317662716,0.005900169850207971,1.2605915427207948,0.10327967982979067,0.16379309296607972,0.0207723186812743,0.05391671434044838,0.004406406521504158,0.08876923099160194,0.00773662370758943,0.19344000667333602,0.01364480070898381,0.2076777845621109,0.035023047680981766,0.0,0.0,0.0,0.0,0.4630085498094559,0.00023146029038461648,0.22400886118412017,0.00040410167064573293,55.6,3.8930136855083823,1.1393320679664611,0.08039105176410134,0.2997581005096436,0.0025660985114263077,0.2982767015695572,0.0008532554218774716,0.4019652485847473,0.0025797194585897108,0.9341607800749652,0.003102826254726343,0.6532116697575041,0.00747905039428419,0.0,0.0,0.0,0.0,0.0,0.0
neural,0.7363509953022003,0.022358492737270256,0.22381630688905715,0.0031737639182568595,0.07997774258255959,0.006224627436658969,1.2618531465530396,0.10708654761171763,0.1652599059045315,0.02248496700882092,0.047899319976568225,0.005907791758679129,0.08876923099160194,0.00773662370758943,0.16798880100250244,0.01612015856378801,0.2076777845621109,0.035023047680981766,100.0,0.0,87.6,20.14502971509901,-0.8475995779037475,0.003582211576920037,-0.0017906539142131805,0.0011829802464843346,57.3,2.263232692902394,1.0538367331027985,0.08794555704069514,0.05132538937032223,0.0003891235116973598,0.32582682371139526,0.0496142948132979,0.6228478252887726,0.049710222706043465,-0.9114297360746916,0.017696344085920135,-0.2677563408509658,0.1556948242268441,0.9919230759143829,0.015140155351522442,0.19007692486047745,0.08653871046554429,0.0281538458308205,0.025631279873788427
prior,0.7361961424350738,0.022070883955801802,0.22361065000295638,0.0033937412865248737,0.07973404079675675,0.006037230847440305,1.2606401920318604,0.10472946195529652,0.16414597928524016,0.021496372675212684,0.05185032710433006,0.004419156418130349,0.08876923099160194,0.00773662370758943,0.182563354074955,0.017325701454366554,0.2076777845621109,0.035023047680981766,0.0,0.0,0.0,0.0,0.4713450074195862,0.0,0.2678782641887665,0.0,48.2,17.351272767917248,1.1488379836082458,0.0742631997959089,0.3922546058893204,0.0025296558393441125,0.3008181035518646,0.0008955139012684048,0.30692732632160186,0.0021724627742087275,0.9167826741965597,0.0035265093655503336,0.6739564282049549,0.007572690359719075,0.0,0.0,0.0,0.0,0.0,0.0
static,0.7364029824733734,0.022776188493865427,0.22358589619398117,0.003353777784132006,0.07997043132781982,0.006317979659723914,1.2631851077079772,0.11080803166436666,0.16543827652931214,0.023423160927907357,0.04877340272068977,0.004743518107725352,0.08876923099160194,0.00773662370758943,0.16931358277797698,0.017072018264720115,0.2076777845621109,0.035023047680981766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,17.147724176824294,1.1267367959022523,0.073184045707053,0.3499999940395355,0.0,0.3499999940395355,0.0,0.30000001192092896,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
