Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Stress predicted tail probability,Stress observed tail frequency,Mean pi_D,Mean pi_N,Mean pi_T,Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,CRPS Delta %,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,CRPS STD,Direction Brier STD,Tail Brier STD,Stress CRPS STD,Stress Tail Brier STD,Mean predicted tail probability STD,Observed tail frequency STD,Stress predicted tail probability STD,Stress observed tail frequency STD,Mean pi_D STD,Mean pi_N STD,Mean pi_T STD,Risk monotonic violations STD,Dir monotonic violations STD,Delta pi_T risk 0->1 STD,Delta pi_D dir 0->1 STD,CRPS Delta STD,CRPS Delta % STD,Direction Brier Delta STD,Tail Brier Delta STD,Stress CRPS Delta STD,Stress Tail Brier Delta STD,Monotonic OK,CRPS Constraint OK,Eligible,Rank
Stage3,S3_01,2.5,0.5,0.0,0.02,0.7383460402488708,0.22349925339221954,0.07866402467091878,1.2971277236938477,0.16122799615065256,0.04843255132436752,0.08717948695023854,0.1730284442504247,0.1980114926894506,0.25588000814119977,0.2855958044528961,0.4585241874059041,0.0,0.0,0.49565277496973675,0.22334415217240652,-3.141164779663086e-05,-0.004833224831722105,-0.0002050846815109253,-0.0007661581039428711,-0.005476315816243489,-0.0029754439989725747,0.030426942442063912,0.007091302879408191,0.000574509662467001,0.15945018911490133,0.03531201494973709,0.005691461191423284,0.001935854769331644,0.015584529649316229,0.05618909767147992,0.002021044473238601,0.000425672066624413,0.0024381815850034894,0.0,0.0,0.0001870601453956142,0.00030780499726608716,0.0007628285454998647,0.10251696660042872,0.00043371452803892,0.0003677072096719676,0.009518581952630386,0.0036769356019114062,True,True,True,1
Stage3,S3_04,2.5,0.5,0.02,0.02,0.7383450071016947,0.22349806129932404,0.07866456856330235,1.297132134437561,0.16122999290625253,0.04842374722162882,0.08717948695023854,0.17300055424372354,0.1980114926894506,0.2564128339290619,0.28544899821281433,0.4581381579240163,0.0,0.0,0.4958958725134532,0.2237261434396108,-3.244479497273763e-05,-0.004973078892957242,-0.0002062767744064331,-0.0007656142115592957,-0.00547190507253011,-0.002973447243372599,0.030426844035819304,0.007091125551288612,0.0005745270384966323,0.1594553521516916,0.03531368069887363,0.005685240355281689,0.001935854769331644,0.015570492435086606,0.05618909767147992,0.001958699318466304,0.00042260669486297647,0.002371681039913709,0.0,0.0,0.00021688514004279948,0.00034346562926647995,0.00076204138182742,0.10241168455678853,0.0004335579986593075,0.0003676129837224673,0.009513283867909662,0.0036752673149113334,True,True,True,2
Stage3,S3_02,2.5,0.5,0.0,0.05,0.738302985827128,0.22347155710061392,0.07869444539149602,1.2973701159159343,0.16134474674860635,0.04791269078850746,0.08717948695023854,0.1710442453622818,0.1980114926894506,0.2633033295472463,0.2901645501454671,0.4465321997801463,0.0,0.0,0.44820024569829303,0.20196559031804404,-7.446606953938802e-05,-0.010638474377335061,-0.0002327809731165568,-0.0007357373833656311,-0.005233923594156901,-0.0028586934010187783,0.030415335674794732,0.007088365299835873,0.0005940228340751244,0.15999832529201777,0.03552610778701415,0.005555569465315934,0.001935854769331644,0.01538436168119942,0.05618909767147992,0.001826784982099945,0.0003846808486108353,0.0022037795680894022,0.0,0.0,0.00016978200842082,0.00027906231345661223,0.0007005650562516172,0.09417456329878206,0.0004171690334659477,0.00034545811179259735,0.00896730458320752,0.0034627875736331667,True,True,True,3
Stage3,S3_05,2.5,0.5,0.02,0.05,0.7383022507031759,0.22347061336040497,0.0786948949098587,1.2973739306132,0.16134641567866007,0.04790554568171501,0.08717948695023854,0.17102141181627908,0.1980114926894506,0.2637333671251933,0.29004578789075214,0.44622088472048443,0.0,0.0,0.44839634497960407,0.20227388044198355,-7.520119349161784e-05,-0.010738252743243895,-0.0002337247133255005,-0.0007352878650029501,-0.005230108896891276,-0.0028570244709650674,0.03041533545636631,0.007088199250332418,0.0005940340818648727,0.16000253261823866,0.03552750167648596,0.005550548455353411,0.001935854769331644,0.015372896300617602,0.05618909767147992,0.0017765076863785428,0.0003824216570643784,0.0021503952292923514,0.0,0.0,0.0001936697020286219,0.00030773608542535046,0.0006999485795470234,0.09409168684115149,0.0004170336960096622,0.0003453849163112842,0.008963006865818978,0.0034613927396989386,True,True,True,4
Stage3,S3_03,2.5,0.5,0.0,0.08,0.7382650176684061,0.2234457383553187,0.07872601598501205,1.2976348797480266,0.16146730879942575,0.04739174743493398,0.08717948695023854,0.16904371480147043,0.1980114926894506,0.2707249919573466,0.2947336832682292,0.4345412751038869,0.0,0.0,0.40074687202771503,0.18058578173319498,-0.00011243422826131184,-0.01576800090039919,-0.0002585997184117635,-0.0007041667898495992,-0.004969159762064616,-0.0027361313501993814,0.030407606948268797,0.007086486319202221,0.0006138917758359429,0.1605477908415263,0.03574484081740238,0.005419738044177926,0.001935854769331644,0.015166070069261564,0.05618909767147992,0.0016327113675379324,0.0003437130696535421,0.0019696543530494494,0.0,0.0,0.0001523127637004208,0.00025016967004396374,0.0006392139981189231,0.08593554075114569,0.00040101222075362265,0.0003227115898195127,0.008417974626584421,0.0032440420390244815,True,True,True,5
Stage3,S3_06,2.5,0.5,0.02,0.08,0.7382644216219584,0.22344501316547394,0.07872638354698817,1.2976378599802654,0.16146867473920187,0.04738606636722883,0.08717948695023854,0.16902543604373932,0.1980114926894506,0.2710651159286499,0.29463957746823627,0.43429529666900635,0.0,0.0,0.40090187390645343,0.1808296541372935,-0.00011303027470906575,-0.01584903337561032,-0.00025932490825653076,-0.0007037992278734843,-0.004966179529825847,-0.002734765410423279,0.030407643218805503,0.007086385014879606,0.0006139031095228957,0.1605510420119774,0.03574596065666333,0.005415782307118933,0.001935854769331644,0.01515690902723423,0.05618909767147992,0.0015930481901429707,0.000342056778493178,0.0019276431856841288,0.0,0.0,0.00017103511361221075,0.0002727118315370895,0.0006387236663560906,0.08586956967350162,0.00040090207892068115,0.0003226498207243744,0.008414676613380821,0.003242921827633747,True,True,True,6
