Stage,Config ID,Seed,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Stress predicted tail probability,Stress observed tail frequency,Mean pi_D,Mean pi_N,Mean pi_T,Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,Baseline CRPS,Baseline Direction Brier,Baseline Tail Brier,Baseline Stress CRPS,Baseline Stress Tail Brier,CRPS Delta,CRPS Delta %,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta
Stage1,S1_01,101,1.0,0.15,0.02,0.05,0.7690236568450928,0.2310989648103714,0.078586146235466,1.2414997816085815,0.15791022777557373,0.047645989805459976,0.08692307770252228,0.16536693274974823,0.19847328960895538,0.346937358379364,0.30124127864837646,0.3518214225769043,0,0,0.4732404351234436,0.252298504114151,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,-2.1278858184814453e-05,-0.002766920006482498,-0.00010196864604949951,-0.0002643316984176636,-0.001387953758239746,-0.0012340247631072998
Stage1,S1_01,102,1.0,0.15,0.02,0.05,0.7369177341461182,0.21702075004577637,0.08000296354293823,1.4865473508834839,0.20264148712158203,0.03921700268983841,0.08923076838254929,0.15091648697853088,0.2539682686328888,0.3497965633869171,0.30129414796829224,0.34890931844711304,0,0,0.4732140302658081,0.2522147595882416,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0005962848663330078,-0.0808506483892262,-7.179379463195801e-05,-0.0004924535751342773,-0.006717562675476074,-0.002833440899848938
Stage1,S1_01,103,1.0,0.15,0.02,0.05,0.7080063223838806,0.2221337854862213,0.07869872450828552,1.1718957424163818,0.12797337770462036,0.04091347008943558,0.08538461476564407,0.13920503854751587,0.14159291982650757,0.3517707288265228,0.301001638174057,0.34722769260406494,0,0,0.47318172454833984,0.2521090507507324,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,-0.0005670785903930664,-0.08003102989942117,-0.0006857514381408691,-0.0002459287643432617,0.00023627281188964844,-1.7762184143066406e-05
Stage1,S1_02,101,1.0,0.35,0.02,0.05,0.7690690755844116,0.23116478323936462,0.07853265106678009,1.2411433458328247,0.1577291190624237,0.048490989953279495,0.08692307770252228,0.16798259317874908,0.19847328960895538,0.2971924841403961,0.29651138186454773,0.4062961935997009,0,0,0.4639420211315155,0.225840762257576,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,2.4139881134033203e-05,0.003138942864496952,-3.6150217056274414e-05,-0.00031782686710357666,-0.001744389533996582,-0.0014151334762573242
Stage1,S1_02,102,1.0,0.35,0.02,0.05,0.7368605136871338,0.2170686423778534,0.07993639260530472,1.48556387424469,0.20224611461162567,0.03969649225473404,0.08923076838254929,0.1529010385274887,0.2539682686328888,0.2997065782546997,0.29689255356788635,0.40340086817741394,0,0,0.4637954831123352,0.22561106085777283,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0006535053253173828,-0.08860920721106319,-2.390146255493164e-05,-0.0005590245127677917,-0.0077010393142700195,-0.003228813409805298
Stage1,S1_02,103,1.0,0.35,0.02,0.05,0.7080650329589844,0.22216691076755524,0.0786629170179367,1.1719744205474854,0.12800240516662598,0.04146803170442581,0.08538461476564407,0.14115263521671295,0.14159291982650757,0.30109134316444397,0.29681968688964844,0.40208899974823,0,0,0.4636504054069519,0.2253221571445465,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,-0.0005083680152893066,-0.0717452863161828,-0.0006526261568069458,-0.00028173625469207764,0.00031495094299316406,1.1265277862548828e-05
Stage1,S1_03,101,1.0,0.5,0.02,0.05,0.7691108584403992,0.2312140315771103,0.07849639654159546,1.2409111261367798,0.1576097011566162,0.049097687005996704,0.08692307770252228,0.16984029114246368,0.19847328960895538,0.2627752125263214,0.28944674134254456,0.44777804613113403,0,0,0.4490768015384674,0.20326335728168488,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,6.592273712158203e-05,0.0085720266867497,1.309812068939209e-05,-0.000354081392288208,-0.001976609230041504,-0.0015345513820648193
Stage1,S1_03,102,1.0,0.5,0.02,0.05,0.7368239760398865,0.21710205078125,0.07989130914211273,1.4848909378051758,0.2019762098789215,0.04002859443426132,0.08923076838254929,0.15428894758224487,0.2539682686328888,0.26500752568244934,0.2900426387786865,0.4449498653411865,0,0,0.44879958033561707,0.20291535556316376,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0006900429725646973,-0.09356337029209034,9.506940841674805e-06,-0.0006041079759597778,-0.00837397575378418,-0.0034987181425094604
Stage1,S1_03,103,1.0,0.5,0.02,0.05,0.7081087827682495,0.2221926599740982,0.07863658666610718,1.1720540523529053,0.12803111970424652,0.04188143089413643,0.08538461476564407,0.1425626575946808,0.14159291982650757,0.2659934163093567,0.290071040391922,0.4439356327056885,0,0,0.44853952527046204,0.20248761773109436,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,-0.0004646182060241699,-0.0655709352602468,-0.000626876950263977,-0.00030806660652160645,0.00039458274841308594,3.997981548309326e-05
Stage1,S1_04,101,1.5,0.15,0.02,0.05,0.7690702676773071,0.23105116188526154,0.07849877327680588,1.2414602041244507,0.15754885971546173,0.04908083379268646,0.08692307770252228,0.17041461169719696,0.19847328960895538,0.34686997532844543,0.30125370621681213,0.3518764078617096,0,0,0.4732298254966736,0.25226646661758423,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,2.5331974029541016e-05,0.003293952388669641,-0.0001497715711593628,-0.0003517046570777893,-0.0014275312423706055,-0.0015953928232192993
