CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Stress predicted tail probability,Stress observed tail frequency,Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,Seed,Method,Best Epoch,Best Validation Objective,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Near-floor pi_D rate,Near-floor pi_N rate,Near-floor pi_T rate
0.7595947980880737,0.21879535913467407,0.08830234408378601,1.2885546684265137,0.19611643254756927,0.041568487882614136,0.09923076629638672,0.1460064798593521,0.24761906266212463,,,,,42,crps,28,0.7587694525718689,,,,,,,,
0.7595618367195129,0.21871373057365417,0.08793242275714874,1.289052128791809,0.1946108192205429,0.04370317980647087,0.09923076629638672,0.15392336249351501,0.24761906266212463,0.0,0.0,0.0,0.0,42,static,28,1.1549354791641235,0.3499999940395355,0.3499999940395355,0.30000001192092896,,,0.0,0.0,0.0
0.7580772042274475,0.21870267391204834,0.08722226321697235,1.2815254926681519,0.19147677719593048,0.04837813228368759,0.09923076629638672,0.17170672118663788,0.24761906266212463,0.0,0.0,0.4713450074195862,0.2678782641887665,42,prior,60,1.1830793619155884,0.39409443736076355,0.3015499711036682,0.3043556213378906,0.9115576616723224,0.6716760303123339,0.0,0.0,0.0
0.7587080001831055,0.21920707821846008,0.08719149976968765,1.2831844091415405,0.19282379746437073,0.04830704256892204,0.09923076629638672,0.1630626916885376,0.24761906266212463,100.0,92.0,-0.8497481346130371,-0.0017235428094863892,42,neural,57,1.0818692445755005,0.05113346874713898,0.27903807163238525,0.669828474521637,-0.890323327953742,-0.13960191044855436,1.0,0.33230769634246826,0.039230767637491226
0.7582499384880066,0.21884678304195404,0.08727080374956131,1.2820302248001099,0.1918167620897293,0.0478358119726181,0.09923076629638672,0.16898956894874573,0.24761906266212463,11.0,0.0,0.3345647156238556,0.18861888349056244,42,hybrid,60,1.1613110303878784,0.28167983889579773,0.3885272443294525,0.32979297637939453,0.8696056243579132,0.7904831310903794,0.0,0.0,0.0
0.7578423619270325,0.21887023746967316,0.08694805204868317,1.2798117399215698,0.19044706225395203,0.05046440660953522,0.09923076629638672,0.17850451171398163,0.24761906266212463,0.0,0.0,0.4627595543861389,0.2235589325428009,42,monotonic_hybrid,60,1.1789398193359375,0.30079707503318787,0.2996895909309387,0.3995133638381958,0.9293143093485994,0.6528737584815971,0.0,0.0,0.0
0.723889172077179,0.2265426367521286,0.0724247619509697,1.1752907037734985,0.12019358575344086,0.045910291373729706,0.07923077046871185,0.1511644721031189,0.1428571492433548,,,,,43,crps,24,0.7859439849853516,,,,,,,,
0.7245396971702576,0.2264534831047058,0.07227743417024612,1.1766471862792969,0.12041711807250977,0.049347344785928726,0.07923077046871185,0.16066980361938477,0.1428571492433548,0.0,0.0,0.0,0.0,43,static,24,1.185461401939392,0.3499999940395355,0.3499999940395355,0.30000001192092896,,,0.0,0.0,0.0
0.7251299619674683,0.2265004813671112,0.07221628725528717,1.1787058115005493,0.12085381150245667,0.0523117259144783,0.07923077046871185,0.17005527019500732,0.1428571492433548,0.0,0.0,0.4713450074195862,0.2678782641887665,43,prior,24,1.2075061798095703,0.3932349681854248,0.30070504546165466,0.3060600757598877,0.9222876577705076,0.6628186502971496,0.0,0.0,0.0
0.7241952419281006,0.22684653103351593,0.07266808301210403,1.1769260168075562,0.12067557126283646,0.04377378523349762,0.07923077046871185,0.15883727371692657,0.1428571492433548,100.0,100.0,-0.8494911193847656,-0.0030487366020679474,43,neural,55,1.1206213235855103,0.051970843225717545,0.30128684639930725,0.6467423439025879,-0.9152878667190574,-0.18386139979486815,0.9599999785423279,0.25846153497695923,0.023846153169870377
0.7245113253593445,0.22644156217575073,0.07256747782230377,1.1797734498977661,0.12134996056556702,0.0485493466258049,0.07923077046871185,0.17483755946159363,0.1428571492433548,12.0,0.0,0.29133349657058716,0.21338319778442383,43,hybrid,49,1.1877882480621338,0.29611626267433167,0.3830062448978424,0.3208775520324707,0.7851663319430292,0.9052564417572575,0.0,0.0,0.0
0.7252210378646851,0.22650469839572906,0.0725775957107544,1.1830432415008545,0.12230353057384491,0.051876891404390335,0.07923077046871185,0.18711431324481964,0.1428571492433548,0.0,0.0,0.4632641673088074,0.22455114126205444,43,monotonic_hybrid,49,1.203658103942871,0.30145037174224854,0.29795321822166443,0.4005964398384094,0.9385639320516607,0.6415422708791375,0.0,0.0,0.0
0.7615589499473572,0.22728712856769562,0.08416394889354706,1.3048688173294067,0.16197767853736877,0.04711303859949112,0.0946153849363327,0.1582733392715454,0.20338982343673706,,,,,44,crps,29,0.7260852456092834,,,,,,,,
0.7631009221076965,0.22748582065105438,0.08429558575153351,1.307568907737732,0.1633279174566269,0.04535378888249397,0.0946153849363327,0.14593030512332916,0.20338982343673706,0.0,0.0,0.0,0.0,44,static,9,1.0975013971328735,0.3499999940395355,0.3499999940395355,0.30000001192092896,,,0.0,0.0,0.0
0.762789249420166,0.22770383954048157,0.08394698798656464,1.3056813478469849,0.1623847633600235,0.047780830413103104,0.0946153849363327,0.15400202572345734,0.20338982343673706,0.0,0.0,0.4713450074195862,0.2678782641887665,44,prior,9,1.1180623769760132,0.39136621356010437,0.299844890832901,0.3087889552116394,0.9216223982646496,0.6736518289213372,0.0,0.0,0.0
0.7626380324363708,0.22666555643081665,0.08448709547519684,1.3061184883117676,0.16243556141853333,0.04537384957075119,0.0946153849363327,0.1572204828262329,0.20338982343673706,100.0,57.0,-0.8493669033050537,-0.0001735500991344452,44,neural,58,1.028072476387024,0.05091464892029762,0.3661571741104126,0.5829281806945801,-0.9285304629261693,-0.12281120372386571,1.0,0.20307692885398865,0.048461537808179855
0.7623942494392395,0.22656916081905365,0.08435720205307007,1.3049818277359009,0.16127324104309082,0.046490512788295746,0.0946153849363327,0.1699375957250595,0.20338982343673706,17.0,0.0,0.2841879725456238,0.23801472783088684,44,hybrid,58,1.0961962938308716,0.3083149492740631,0.378411203622818,0.31327393651008606,0.5839333135567027,0.9255832416523145,0.0,0.0,0.0
0.7621729373931885,0.2266390323638916,0.08395708352327347,1.3039460182189941,0.16054363548755646,0.050575267523527145,0.0946153849363327,0.1869281828403473,0.20338982343673706,0.0,0.0,0.46290621161460876,0.2238204926252365,44,monotonic_hybrid,58,1.1090435981750488,0.29885777831077576,0.2972211539745331,0.40392112731933594,0.9386011495551678,0.654326259998349,0.0,0.0,0.0
