Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %,Best Epoch STD,Best Validation Objective STD,CRPS STD,Direction Brier STD,Tail Brier STD,Stress CRPS STD,Stress Tail Brier STD,Mean predicted tail probability STD,Observed tail frequency STD,Tail calibration gap STD,Stress predicted tail probability STD,Stress observed tail frequency STD,Stress tail calibration gap STD,Mean pi_D STD,Mean pi_N STD,Mean pi_T STD,"Corr(risk, pi_T) STD","Corr(dir_unc, pi_D) STD",Risk monotonic violations STD,Dir monotonic violations STD,Delta pi_T risk 0->1 STD,Delta pi_D dir 0->1 STD,CRPS Delta STD,Direction Brier Delta STD,Tail Brier Delta STD,Stress CRPS Delta STD,Stress Tail Brier Delta STD,Tail calibration gap Delta STD,Stress tail calibration gap Delta STD,CRPS Delta % STD,Monotonic OK,CRPS Constraint OK,Eligible,Rank
Stage2,S2_001,3.0,0.1,0.0,0.0,45.4,1.3069522023200988,0.7331422865390778,0.2229990005493164,0.07864632904529571,1.2356007814407348,0.15259488597512244,0.04985705055296421,0.08676922991871834,0.036912179365754125,0.17595656216144562,0.1859151914715767,0.03441648036241531,0.36862462759017944,0.2960850417613983,0.33529032766819,0.9238990829253633,0.6638871953096778,0.0,0.0,0.5570041954517364,0.30332930386066437,0.0002767026424407959,-0.00017693936824798585,-0.00047895610332489015,5.360841751098633e-05,-0.0011916160583496094,-0.007585436105728149,-0.0111735038459301,0.03957911870888075,3.8930136855083823,0.05438381377346429,0.025628758461969183,0.004008836782810595,0.005700062729717884,0.11054399254639186,0.02578520733937849,0.004958815756406114,0.006916425583905123,0.010196704295792251,0.012319035926318854,0.04140524049780575,0.028575517944079146,0.0029505503086517905,0.0010155113659250483,0.0029444718785285704,0.00381332124933206,0.019554510343016487,0.0,0.0,3.632988856804442e-05,0.0001433697473708323,0.0007864970800259634,0.00047055612238966206,0.00037664759526760954,0.005557828552118582,0.002545815483610125,0.0018499102299044592,0.023110543673976774,0.10817024843086392,True,True,True,1
Stage2,S2_002,3.0,0.1,0.0,0.001,45.4,1.3068312644958495,0.7331414103507996,0.22299858629703523,0.07864669263362885,1.2355990290641785,0.15259541124105452,0.0498474508523941,0.08676922991871834,0.03692177906632423,0.17591781467199324,0.1859151914715767,0.03442216217517853,0.36851878762245177,0.2961967557668686,0.3352843999862671,0.9238990732797696,0.6638872034480687,0.0,0.0,0.555333161354065,0.30241930186748506,0.0002758264541625977,-0.0001773536205291748,-0.00047859251499176024,5.1856040954589844e-05,-0.0011910907924175262,-0.007575836405158043,-0.011167822033166885,0.039457355684744656,3.8930136855083823,0.05437107845373788,0.025629210485687344,0.004008936794661533,0.005700358139480491,0.11055224724271555,0.025789053998494574,0.004959021667439001,0.006916425583905123,0.010196858480231734,0.01232007228505084,0.04140524049780575,0.02858257761372727,0.0029417125189950158,0.001012459200356631,0.0029356436249147033,0.003813321981427299,0.019554507744548675,0.0,0.0,3.624915602737092e-05,0.00014296362979790618,0.0007853869574920695,0.0004703510434904512,0.0003761054801393967,0.005548798335914536,0.0025418370869121714,0.001849862763946482,0.023073916827482496,0.10801577240281417,True,True,True,2
Stage2,S2_003,3.0,0.1,0.0,0.005,45.4,1.3063476920127868,0.7331376850605011,0.22299695163965225,0.078648142516613,1.2355921983718872,0.15259747281670571,0.049809012189507486,0.08676922991871834,0.036960217729210855,0.17576234340667723,0.1859151914715767,0.03444523066282272,0.36809550523757933,0.29664371311664584,0.33526078462600706,0.9238990444678761,0.6638872130190353,0.0,0.0,0.5486491680145263,0.29877946972846986,0.00027210116386413576,-0.0001789882779121399,-0.0004771426320075989,4.502534866333008e-05,-0.0011890292167663573,-0.0075373977422714235,-0.01114475354552269,0.03894055575950705,3.8930136855083823,0.05431990200323521,0.025630932591450047,0.0040093109765220476,0.005701530587250955,0.11058517133861696,0.025804440390256766,0.0049598461402416034,0.006916425583905123,0.010197479648397872,0.012324100806564327,0.04140524049780575,0.028611180311789143,0.0029062961185723104,0.001000252693050673,0.002900274563731403,0.0038133219356695455,0.019554508457496473,0.0,0.0,3.579406783091631e-05,0.00014124702894957022,0.0007810790928955443,0.00046953004324894464,0.0003739282561271797,0.005512865013001482,0.00252592678507137,0.0018496811241274283,0.022927130906908767,0.10741548094452186,True,True,True,3
Stage2,S2_004,3.0,0.1,0.0,0.01,45.4,1.3057429909706115,0.7331331312656403,0.22299492061138154,0.07864997684955596,1.235583746433258,0.15260013639926912,0.04976092390716076,0.08676922991871834,0.03700830601155758,0.17556829005479813,0.1859151914715767,0.03447368443012237,0.36756636798381803,0.29720239341259,0.33523125052452085,0.9238990055337153,0.6638872341268621,0.0,0.0,0.5402941167354584,0.29422964453697203,0.0002675473690032959,-0.00018101930618286133,-0.00047530829906463625,3.657341003417969e-05,-0.001186365634202957,-0.007489309459924698,-0.011116299778223038,0.03830801161560518,3.8930136855083823,0.054256130333775396,0.0256332252443173,0.004009800320654176,0.005703004718301237,0.11062637717469924,0.02582368267574749,0.004960849412845372,0.006916425583905123,0.01019823591983605,0.012329244281099893,0.04140524049780575,0.028648411347572067,0.0028620233457632613,0.0009850171686173726,0.0028560871734081327,0.003813323893206043,0.019554508340399575,0.0,0.0,3.5305336586845006e-05,0.00013912158449168094,0.000775671038190703,0.0004685069448182187,0.0003712016965737506,0.005467889698207711,0.0025060177600733156,0.0018494509890892253,0.02274414247054095,0.10666209682600238,True,True,True,4
Stage2,S2_006,3.0,0.05,0.0,0.0,45.4,1.310072946548462,0.7331006586551666,0.22297203540802002,0.07866731733083725,1.2355524897575378,0.15261477679014207,0.04942685551941395,0.08676922991871834,0.03734237439930439,0.1746055081486702,0.1859151914715767,0.034626159071922305,0.38426854014396666,0.2958547681570053,0.31987668573856354,0.921374304223726,0.6668302114269549,0.0,0.0,0.5562917292118073,0.3095418572425842,0.0002350747585296631,-0.00020390450954437255,-0.0004579678177833557,5.316734313964844e-06,-0.0011717252433300017,-0.007155241072177887,-0.01096382513642311,0.033783501299745874,3.8930136855083823,0.0537760860569169,0.025653158835486335,0.004009218106880489,0.0057103975048476115,0.11080470602475813,0.025900111557269956,0.004883628508432932,0.006916425583905123,0.010122383274830607,0.012217421596708888,0.04140524049780575,0.02868027945935518,0.0030266110980903477,0.001041644366202406,0.0029310769370465817,0.0038964953895909587,0.019325872447066884,0.0,0.0,1.1577604523672919e-05,6.701065837120265e-05,0.0007401241632422357,0.0004705610808469096,0.0003626484873905861,0.005259934186086773,0.00242574775374166,0.0018010158784177717,0.021823538030112135,0.10168475009504274,True,True,True,5
Stage2,S2_007,3.0,0.05,0.0,0.001,45.4,1.3099425315856934,0.7330998837947845,0.22297171503305435,0.07866763770580291,1.235551118850708,0.15261531323194505,0.049418486282229425,0.08676922991871834,0.037350743636488916,0.17457059919834136,0.1859151914715767,0.03463115841150284,0.38411574363708495,0.29596720039844515,0.31991701424121854,0.921374295840419,0.6668302163227278,0.0,0.0,0.5546228468418122,0.30861322581768036,0.000234299898147583,-0.00020422488451004027,-0.000457647442817688,3.9458274841308595e-06,-0.0011711888015270232,-0.007146871834993363,-0.010958825796842575,0.033675933816980363,3.8930136855083823,0.05376515272773856,0.02565353427595851,0.004009312987615434,0.005710659023312994,0.11081213042035318,0.025903617711234343,0.004884063354701246,0.006916425583905123,0.010122753342866617,0.012218669405956542,0.04140524049780575,0.02868888219980659,0.0030175158970773843,0.0010385227827330395,0.0029222957504420584,0.0038964956664613868,0.01932586990099632,0.0,0.0,1.1541091878004943e-05,6.6804733310061e-05,0.0007391863401615425,0.00047035840220865975,0.0003621460343708158,0.005251900653918363,0.0024221194066784244,0.0018011287839198736,0.02179094403696553,0.10155432263919219,True,True,True,6
Stage2,S2_008,3.0,0.05,0.0,0.005,45.4,1.3094209432601929,0.7330969452857972,0.22297041416168212,0.07866891101002693,1.2355456829071045,0.1526174657046795,0.04938500188291073,0.08676922991871834,0.03738422803580761,0.17443090677261353,0.1859151914715767,0.03465120643377304,0.3835046201944351,0.2964169442653656,0.3200784534215927,0.9213742861215181,0.6668302206426763,0.0,0.0,0.5479473829269409,0.304898801445961,0.00023136138916015624,-0.0002055257558822632,-0.0004563741385936737,-1.4901161193847656e-06,-0.001169036328792572,-0.007113387435674667,-0.010938777774572372,0.033267587793662144,3.8930136855083823,0.05372139674721282,0.025655047314739603,0.004009703783195601,0.005711716713229529,0.11084190280172458,0.02591765278229626,0.004885776394861816,0.006916425583905123,0.010124219223158643,0.012223645506706049,0.04140524049780575,0.02872363795945332,0.0029811815258976087,0.0010259946365089245,0.002887099597874488,0.003896496551876205,0.01932586964552379,0.0,0.0,1.1409103366604683e-05,6.600348903755718e-05,0.000735431732472597,0.00046953740858654813,0.0003601381351942276,0.005219709057286739,0.002407598211113649,0.0018015597129567471,0.021660631310850564,0.10103194122965886,True,True,True,7
Stage2,S2_009,3.0,0.05,0.0,0.01,45.4,1.3087688088417053,0.7330932438373565,0.22296880632638932,0.07867051064968109,1.2355390787124634,0.1526201993227005,0.04934312291443348,0.08676922991871834,0.03742610700428486,0.17425618022680284,0.1859151914715767,0.034676280617713925,0.3827406972646713,0.2969790995121002,0.32028021812438967,0.9213742646433047,0.666830235056195,0.0,0.0,0.5396030247211456,0.30025570690631864,0.0002276599407196045,-0.00020713359117507935,-0.0004547744989395142,-8.094310760498048e-06,-0.0011663027107715607,-0.0070715084671974186,-0.010913703590631485,0.03275329906076508,3.8930136855083823,0.05366679004135934,0.025656937905064257,0.004010182050975477,0.005713041956196818,0.11087913406529408,0.02593520945277853,0.004887904045456917,0.006916425583905123,0.010126044318793123,0.012229851529038844,0.04140524049780575,0.02876807438085532,0.0029357857835721627,0.0010103830186240208,0.0028431159632580794,0.0038964968532020534,0.019325870102552344,0.0,0.0,1.1214626190223182e-05,6.501991047423935e-05,0.0007307632788568687,0.00046850916776692983,0.0003576236609777364,0.00517945868133332,0.002389429558391432,0.0018021032345222484,0.021497920075422828,0.10038247641769112,True,True,True,8
Stage2,S2_005,3.0,0.1,0.0,0.05,45.4,1.3009018898010254,0.7330982446670532,0.22297902256250382,0.078664992749691,1.2355228066444397,0.15262354761362076,0.04937495030462742,0.08676922991871834,0.03739427961409092,0.17400964200496674,0.1859151914715767,0.03470274955034256,0.36333300173282623,0.3016718864440918,0.3349951684474945,0.9238987122726818,0.6638873559126763,0.0,0.0,0.47345377802848815,0.25783081650733947,0.00023266077041625977,-0.0001969173550605774,-0.00046029239892959596,-2.4366378784179688e-05,-0.0011629544198513031,-0.007103335857391357,-0.010887234658002853,0.03345942732790371,3.8930136855083823,0.053750312594475755,0.025651394953693906,0.00401380611531656,0.0057149189404209185,0.11095605248553753,0.025978199746054097,0.004967494738712807,0.006916425583905123,0.010203400124884915,0.012368788017806038,0.04140524049780575,0.028994228153220263,0.0025078975659301303,0.0008630553676420278,0.0025025449471841473,0.0038133320167617695,0.019554509613934002,0.0,0.0,3.0955358547981125e-05,0.00012209748372251622,0.0007327291600322714,0.00046039391606265484,0.0003492553570455969,0.0051085322628938445,0.0023460037453273256,0.001846834146454614,0.021286613755109766,0.10068311469461931,True,True,True,9
Stage2,S2_011,3.0,0.02,0.0,0.0,44.3,1.31190664768219,0.7330851018428802,0.22293867766857148,0.07865998074412346,1.2355194687843323,0.15263139605522155,0.04949197731912136,0.08676922991871834,0.03727725259959698,0.17435585260391234,0.1859151914715767,0.034186019003391264,0.39373558163642886,0.29550649523735045,0.3107579112052917,0.9198217902219863,0.6686108272408875,0.0,0.0,0.5553589999675751,0.312992262840271,0.00021951794624328614,-0.00023726224899291992,-0.0004653044044971466,-2.7704238891601563e-05,-0.0011551059782505036,-0.007220362871885299,-0.011403965204954148,0.03162935100195516,5.53875236653326,0.053406140295960615,0.02565934487381674,0.004026052694094149,0.0057317524251953265,0.11095977609323382,0.025970138659162784,0.0051802895157534185,0.006916425583905123,0.010294621135662183,0.012306214551150423,0.04140524049780575,0.029101452835164746,0.0030477473261485612,0.0010677344191102193,0.0029059065612432058,0.003934504616477203,0.019185025628001562,0.0,0.0,5.411924504244772e-06,4.2193414254763326e-05,0.0007123476629060629,0.0004511269729898936,0.00038588393717676057,0.005083733253388287,0.002352289165335457,0.002386641645312958,0.02156886932620078,0.09779112114670996,True,True,True,10
